Time resolution is 1 ps
Begin TOP
Begin reset
End reset
[65000] DATA_IN_BFM Starting to drive packets...
[65000] DATA_IN_GENERATOR Starting to generate 15 packets...
[65000] DATA IN GEN : packet ID: 0 address is h'0, data length is 5, payload is  h'a5 h'21 h'49 h'ba h'c6,      parity is a5, delay is 8
[1090000] CHANNEL_OUT_MONITOR1 : packet ID: 3 address is h'1, data length is 4, payload is  h'b5 h'c6 h'7d h'ba,      parity is a5, delay is 0
[1150000] DATA_IN_MONITOR: : packet ID: 8 address is h'1, data length is 5, payload is  h'6b h'8 h'd7 h'3f h'99,      parity is 7, delay is 0
[1200000] CHANNEL_OUT_MONITOR1 : packet ID: 4 address is h'1, data length is 5, payload is  h'6b h'8 h'd7 h'3f h'99,      parity is 7, delay is 0
[1250000] DATA_IN_MONITOR: : packet ID: 9 address is h'2, data length is 4, payload is  h'ee h'a9 h'3d h'5f,      parity is 37, delay is 0
[1290000] CHANNEL_OUT_MONITOR2 : packet ID: 3 address is h'2, data length is 4, payload is  h'ee h'a9 h'3d h'5f,      parity is 37, delay is 0
[1360000] DATA_IN_MONITOR: : packet ID: 10 address is h'2, data length is 4, payload is  h'1f h'd1 h'e8 h'b3,      parity is 87, delay is 0
[1400000] CHANNEL_OUT_MONITOR2 : packet ID: 4 address is h'2, data length is 4, payload is  h'1f h'd1 h'e8 h'b3,      parity is 87, delay is 0
[1460000] DATA_IN_MONITOR: : packet ID: 11 address is h'2, data length is 4, payload is  h'86 h'f9 h'b8 h'89,      parity is 5c, delay is 0
[1500000] CHANNEL_OUT_MONITOR2 : packet ID: 5 address is h'2, data length is 4, payload is  h'86 h'f9 h'b8 h'89,      parity is 5c, delay is 0
[1620000] DATA_IN_MONITOR: : packet ID: 12 address is h'1, data length is 5, payload is  h'66 h'40 h'1d h'52 h'bc,      parity is c0, delay is 0
[1660000] CHANNEL_OUT_MONITOR1 : packet ID: 5 address is h'1, data length is 5, payload is  h'66 h'40 h'1d h'52 h'bc,      parity is c0, delay is 0
[1690000] DATA_IN_MONITOR: : packet ID: 13 address is h'0, data length is 3, payload is  h'6b h'af h'31,      parity is f9, delay is 0
[1730000] CHANNEL_OUT_MONITOR0 : packet ID: 1 address is h'0, data length is 3, payload is  h'6b h'af h'31,      parity is f9, delay is 0
[1770000] DATA_IN_MONITOR: : packet ID: 14 address is h'2, data length is 3, payload is  h'0 h'57 h'a6,      parity is ff, delay is 0
[1810000] CHANNEL_OUT_MONITOR2 : packet ID: 6 address is h'2, data length is 3, payload is  h'0 h'57 h'a6,      parity is ff, delay is 0
